Module  Teeth Numbers 			 Radii Values 			 Angles
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
5	20 59 13 97 14	124.934		50.0 147.5 32.5 242.5 35.0	80.15636752	13.86660486	85.97702762	280.952424
5	20 59 13 97 16	124.934		50.0 147.5 32.5 242.5 40.0	83.82182037	14.78227355	81.39590608	280.952424
5	20 67 14 92 13	124.919		50.0 167.5 35.0 230.0 32.5	67.3861078	13.73154121	98.88235099	280.95242399999995
5	20 67 14 92 15	124.919		50.0 167.5 35.0 230.0 37.5	71.93270246	14.93152275	93.13577479	280.952424
5	20 67 14 92 17	124.919		50.0 167.5 35.0 230.0 42.5	75.79767878	16.0043889	88.19793231	280.952424
5	20 68 15 97 14	125.076		50.0 170.0 37.5 242.5 35.0	79.84262727	14.90200057	85.25537216	280.952424
5	20 68 15 97 16	125.076		50.0 170.0 37.5 242.5 40.0	83.22907963	15.80849558	80.96242479	280.95242399999995
5	20 68 15 97 18	125.076		50.0 170.0 37.5 242.5 45.0	86.1851413	16.63780918	77.17704951	280.952424
5	20 69 13 83 14	124.847		50.0 172.5 32.5 207.5 35.0	49.39736499	12.20061154	118.40202347	280.95242399999995
5	20 69 13 83 16	124.847		50.0 172.5 32.5 207.5 40.0	55.73866675	14.01050168	110.25083157	280.95242399999995
5	20 70 14 88 13	125.0		50.0 175.0 35.0 220.0 32.5	58.64757728	13.19656622	108.1558565	280.95242399999995
5	20 70 14 88 15	125.0		50.0 175.0 35.0 220.0 37.5	63.95953284	14.65340725	101.38705991	280.95242399999995
5	20 70 14 88 17	125.0		50.0 175.0 35.0 220.0 42.5	68.39530992	15.93201356	95.67267652	280.95242399999995
5	20 71 15 93 14	124.943		50.0 177.5 37.5 232.5 35.0	71.93270246	14.93152275	93.13577479	280.952424
5	20 71 15 93 16	124.943		50.0 177.5 37.5 232.5 40.0	75.79767878	16.0043889	88.19793231	280.952424
5	20 71 15 93 18	124.943		50.0 177.5 37.5 232.5 45.0	79.13984848	16.97609562	83.88405589	280.95242399999995
5	20 75 14 82 13	125.203		50.0 187.5 35.0 205.0 32.5	44.4316596	11.47637493	124.09196547	280.95242399999995
5	20 75 14 82 15	125.203		50.0 187.5 35.0 205.0 37.5	51.45649631	13.52291607	115.02058762	280.952424
5	20 75 14 82 17	125.203		50.0 187.5 35.0 205.0 42.5	57.05249563	15.23449744	107.71300693	280.95242399999995
5	20 75 16 94 13	124.823		50.0 187.5 40.0 235.0 32.5	71.93270246	14.93152275	93.13577479	280.952424
5	20 75 16 94 15	124.823		50.0 187.5 40.0 235.0 37.5	75.79767878	16.0043889	88.19793231	280.952424
5	20 75 16 94 17	124.823		50.0 187.5 40.0 235.0 42.5	79.13984848	16.97609562	83.88405589	280.95242399999995
5	20 75 16 94 19	124.823		50.0 187.5 40.0 235.0 47.5	82.0687352	17.86478486	80.06647994	280.952424
5	20 76 15 87 14	124.773		50.0 190.0 37.5 217.5 35.0	59.89403487	14.38254625	105.72341887	280.95242399999995
5	20 76 15 87 16	124.773		50.0 190.0 37.5 217.5 40.0	64.66529466	15.78477529	99.54993004	280.95242399999995
5	20 76 15 87 18	124.773		50.0 190.0 37.5 217.5 45.0	68.70666886	17.02749189	94.26583926	280.952424
5	20 77 14 80 13	125.0		50.0 192.5 35.0 200.0 32.5	39.10017136	10.55038431	130.34944434	280.95242399999995
5	20 77 14 80 15	125.0		50.0 192.5 35.0 200.0 37.5	46.99818046	12.89991847	120.10190107	280.95242399999995
5	20 77 14 80 17	125.0		50.0 192.5 35.0 200.0 42.5	53.12074529	14.81143941	112.06781531	280.95242399999995
5	20 79 14 78 13	124.959		50.0 197.5 35.0 195.0 32.5	33.20831784	9.35202659	137.43965557	280.952424
5	20 79 14 78 15	124.959		50.0 197.5 35.0 195.0 37.5	42.2935256	12.11286196	125.59361244	280.95242399999995
5	20 79 14 78 17	124.959		50.0 197.5 35.0 195.0 42.5	49.06194347	14.27078945	116.66726708	280.95242399999995
5	20 80 16 88 13	125.0		50.0 200.0 40.0 220.0 32.5	59.89403487	14.38254625	105.72341887	280.95242399999995
5	20 80 16 88 15	125.0		50.0 200.0 40.0 220.0 37.5	64.66529466	15.78477529	99.54993004	280.95242399999995
5	20 80 16 88 17	125.0		50.0 200.0 40.0 220.0 42.5	68.70666886	17.02749189	94.26583926	280.952424
5	20 80 16 88 19	125.0		50.0 200.0 40.0 220.0 47.5	72.19480669	18.14573933	89.65945398	280.952424
5	20 81 14 76 13	125.081		50.0 202.5 35.0 190.0 32.5	26.3619508	7.74178392	145.89626528	280.952424
5	20 81 14 76 15	125.081		50.0 202.5 35.0 190.0 37.5	37.23453578	11.11783498	131.64762924	280.952424
5	20 81 14 76 17	125.081		50.0 202.5 35.0 190.0 42.5	44.82959944	13.59163625	121.57876432	280.95242399999995
5	20 82 16 86 13	124.787		50.0 205.0 40.0 215.0 32.5	55.73866675	14.01050168	110.25083157	280.95242399999995
5	20 82 16 86 15	124.787		50.0 205.0 40.0 215.0 37.5	60.89169768	15.55515521	103.55314711	280.95242399999995
5	20 82 16 86 17	124.787		50.0 205.0 40.0 215.0 42.5	65.2140754	16.91030832	97.87561627	280.952424
5	20 82 16 86 19	124.787		50.0 205.0 40.0 215.0 47.5	68.91946099	18.12102781	92.9595112	280.95242399999995
